"","SHIP_ID","SHIPNAME","ship_type","points","first_date","last_date","LAT","LON","DATETIME","dest_lat","dest_lon","distance_meters"
"1",1960,"PALLAS GLORY","Tanker",848,"2016-12-16T08:25:04Z","2016-12-16T23:21:05Z",57.65783,11.75497,"2016-12-16T22:57:05Z",57.6508,11.71328,2603.41192403802
"2",2006,"KONYA","Cargo",4347,"2016-12-14T00:09:07Z","2016-12-20T11:11:06Z",55.72832,21.06178,"2016-12-15T16:17:06Z",55.72777,21.08245,1297.17385392188
"3",2764,"KAROLI","Cargo",1293,"2016-12-19T11:29:01Z","2016-12-20T11:11:02Z",54.5644,18.83774,"2016-12-19T12:55:01Z",54.54369,18.80568,3098.18940038824
"4",2929,"POLA MUROM","Cargo",674,"2016-12-13T11:31:04Z","2016-12-13T22:43:04Z",59.91764,30.021,"2016-12-13T22:41:04Z",59.92054,30.00686,852.445787262123
"5",2934,"POLA UGLICH","Cargo",1887,"2016-12-19T02:01:03Z","2016-12-20T11:11:04Z",59.91687,30.02371,"2016-12-19T02:05:04Z",59.9132,30.04201,1099.87852572029
"6",2962,"BOA BISON","Tug",4721,"2016-12-13T11:31:08Z","2016-12-20T10:59:07Z",54.52405,18.5547,"2016-12-16T00:03:07Z",54.52401,18.55471,4.49940374563181
"7",2968,"FURE FLADEN","Tanker",118,"2016-12-13T23:27:05Z","2016-12-14T01:47:05Z",57.65628,11.74772,"2016-12-14T01:15:05Z",57.65138,11.71893,1799.38981696384
"8",3049,"BESIKTAS ICELAND","Tanker",3963,"2016-12-13T11:31:05Z","2016-12-16T14:49:06Z",57.66349,11.77922,"2016-12-13T11:33:05Z",57.67393,11.7997,1684.42813551725
"9",3062,"ANGORA","Cargo",3608,"2016-12-15T08:31:06Z","2016-12-20T11:11:06Z",55.70655,20.80155,"2016-12-15T08:31:06Z",55.70835,20.81501,867.658220689811
"10",3162,"REINBEK","Cargo",542,"2016-12-13T11:31:04Z","2016-12-13T20:31:05Z",59.90187,30.09799,"2016-12-13T20:15:05Z",59.90487,30.08347,876.642437329822
"11",3338,"KERLI","Cargo",1225,"2016-12-15T17:33:02Z","2016-12-17T08:19:02Z",54.73725,18.97902,"2016-12-17T07:59:01Z",54.76132,18.98187,2685.70948317424
"12",3575,"HELT","Cargo",1016,"2016-12-15T21:13:02Z","2016-12-18T13:09:03Z",54.68167,20.16127,"2016-12-17T03:23:02Z",54.68575,20.22571,4171.68211754027
"13",3615,"FINNKRAFT","Cargo",1125,"2016-12-13T11:31:02Z","2016-12-20T11:11:02Z",54.6725,18.99983,"2016-12-13T22:31:02Z",54.79053,18.89155,14868.5700969393
"14",3636,"FINNHAWK","Cargo",751,"2016-12-16T06:27:04Z","2016-12-16T19:01:04Z",59.91904,30.01286,"2016-12-16T06:29:04Z",59.91375,30.03851,1547.68857829503
"15",5107,"AUTO BAY","Cargo",456,"2016-12-14T10:09:03Z","2016-12-14T17:43:05Z",59.90988,30.05801,"2016-12-14T17:35:04Z",59.91502,30.0328,1518.79684430855
"16",5381,"AURA","Tug",1171,"2016-12-18T05:27:06Z","2016-12-19T21:55:05Z",55.85232,20.83309,"2016-12-19T21:47:05Z",55.86265,20.81833,1474.02805606629
